,Date,Address,Block,Street,Latitude,Longitude,WnvPresent,DewPoint,WetBulb,PrecipTotal,SeaLevel,Tmax,StnPressure
104,2007-06-05,"7200 North Oketo Avenue, Chicago, IL 60631, USA",72, N OKETO AVE,42.011601,-87.811506,0,48,51,0.42,29.79,64,29.10
105,2007-06-05,"7200 North Oketo Avenue, Chicago, IL 60631, USA",72, N OKETO AVE,42.011601,-87.811506,0,47,52,0.27,29.78,63,29.16
106,2007-06-05,"3800 North California Avenue, Chicago, IL 60618, USA",38, N CALIFORNIA AVE,41.94983,-87.698457,0,48,51,0.42,29.79,64,29.10
107,2007-06-05,"3800 North California Avenue, Chicago, IL 60618, USA",38, N CALIFORNIA AVE,41.94983,-87.698457,0,47,52,0.27,29.78,63,29.16
108,2007-06-05,"4900 West Balmoral Avenue, Chicago, IL 60630, USA",49, W BALMORAL AVE,41.979243,-87.750938,0,48,51,0.42,29.79,64,29.10
109,2007-06-05,"4900 West Balmoral Avenue, Chicago, IL 60630, USA",49, W BALMORAL AVE,41.979243,-87.750938,0,47,52,0.27,29.78,63,29.16
110,2007-06-05,"5800 North Western Avenue, Chicago, IL 60659, USA",58, N WESTERN AVE,41.986921,-87.689778,0,48,51,0.42,29.79,64,29.10
111,2007-06-05,"5800 North Western Avenue, Chicago, IL 60659, USA",58, N WESTERN AVE,41.986921,-87.689778,0,47,52,0.27,29.78,63,29.16
112,2007-06-05,"5000 South Central Avenue, Chicago, IL 60638, USA",50, S CENTRAL AVE,41.801498,-87.763416,0,48,51,0.42,29.79,64,29.10
113,2007-06-05,"5000 South Central Avenue, Chicago, IL 60638, USA",50, S CENTRAL AVE,41.801498,-87.763416,0,47,52,0.27,29.78,63,29.16
114,2007-06-05,"1400 North Sacramento Avenue, Chicago, IL 60622, USA",14, N HUMBOLDT DR,41.906638,-87.701431,0,48,51,0.42,29.79,64,29.10
115,2007-06-05,"1400 North Sacramento Avenue, Chicago, IL 60622, USA",14, N HUMBOLDT DR,41.906638,-87.701431,0,47,52,0.27,29.78,63,29.16
116,2007-06-05,"South Vincennes Avenue, Chicago, IL, USA",10, S VINCENNES,41.723195,-87.64997,0,48,51,0.42,29.79,64,29.10
117,2007-06-05,"South Vincennes Avenue, Chicago, IL, USA",10, S VINCENNES,41.723195,-87.64997,0,47,52,0.27,29.78,63,29.16
118,2007-06-05,"University of Illinois at Chicago, 1100 South Ashland Avenue, Chicago, IL 60607, USA",11, S ASHLAND AVE,41.868077,-87.666901,0,48,51,0.42,29.79,64,29.10
119,2007-06-05,"University of Illinois at Chicago, 1100 South Ashland Avenue, Chicago, IL 60607, USA",11, S ASHLAND AVE,41.868077,-87.666901,0,47,52,0.27,29.78,63,29.16
122,2007-06-05,"1100 South State Street, Chicago, IL 60605, USA",11, S STATE ST,41.869216,-87.627561,0,48,51,0.42,29.79,64,29.10
123,2007-06-05,"1100 South State Street, Chicago, IL 60605, USA",11, S STATE ST,41.869216,-87.627561,0,47,52,0.27,29.78,63,29.16
124,2007-06-05,"4200 West 127th Street, Alsip, IL 60803, USA",42, W 127TH PL,41.662014,-87.724608,0,48,51,0.42,29.79,64,29.10
125,2007-06-05,"4200 West 127th Street, Alsip, IL 60803, USA",42, W 127TH PL,41.662014,-87.724608,0,47,52,0.27,29.78,63,29.16
130,2007-06-05,"5300 West Agatite Avenue, Chicago, IL 60630, USA",53, W AGATITE AVE,41.961743,-87.76007,0,48,51,0.42,29.79,64,29.10
131,2007-06-05,"5300 West Agatite Avenue, Chicago, IL 60630, USA",53, W AGATITE AVE,41.961743,-87.76007,0,47,52,0.27,29.78,63,29.16
134,2007-06-05,"4000 North Austin Avenue, Chicago, IL 60634, USA",40, N AUSTIN AVE,41.953067,-87.776792,0,48,51,0.42,29.79,64,29.10
135,2007-06-05,"4000 North Austin Avenue, Chicago, IL 60634, USA",40, N AUSTIN AVE,41.953067,-87.776792,0,47,52,0.27,29.78,63,29.16
138,2007-06-05,"Chicago, IL, USA",43, N ASHLAND AVE OVERPASS,41.878114,-87.629798,0,48,51,0.42,29.79,64,29.10
139,2007-06-05,"Chicago, IL, USA",43, N ASHLAND AVE OVERPASS,41.878114,-87.629798,0,47,52,0.27,29.78,63,29.16
140,2007-06-05,"4200 North Richmond Street, Chicago, IL 60618, USA",42, N RICHMOND ST,41.958271,-87.702575,0,48,51,0.42,29.79,64,29.10
141,2007-06-05,"4200 North Richmond Street, Chicago, IL 60618, USA",42, N RICHMOND ST,41.958271,-87.702575,0,47,52,0.27,29.78,63,29.16
144,2007-06-05,"2800 North Francisco Avenue, Chicago, IL 60618, USA",28, N FRANCISCO AVE,41.932094,-87.700117,0,48,51,0.42,29.79,64,29.10
145,2007-06-05,"2800 North Francisco Avenue, Chicago, IL 60618, USA",28, N FRANCISCO AVE,41.932094,-87.700117,0,47,52,0.27,29.78,63,29.16
146,2007-06-05,"1500 West Granville Avenue, Chicago, IL 60660, USA",15, W GRANVILLE AVE,41.994469,-87.667736,0,48,51,0.42,29.79,64,29.10
147,2007-06-05,"1500 West Granville Avenue, Chicago, IL 60660, USA",15, W GRANVILLE AVE,41.994469,-87.667736,0,47,52,0.27,29.78,63,29.16
148,2007-06-05,"1800 West Farwell Avenue, Chicago, IL 60626, USA",18, W FARWELL AVE,42.006858,-87.675919,0,48,51,0.42,29.79,64,29.10
149,2007-06-05,"1800 West Farwell Avenue, Chicago, IL 60626, USA",18, W FARWELL AVE,42.006858,-87.675919,0,47,52,0.27,29.78,63,29.16
150,2007-06-05,"7000 West Armitage Avenue, Chicago, IL 60707, USA",70,  W ARMITAGE AVENUE,41.916265,-87.800515,0,48,51,0.42,29.79,64,29.10
151,2007-06-05,"7000 West Armitage Avenue, Chicago, IL 60707, USA",70,  W ARMITAGE AVENUE,41.916265,-87.800515,0,47,52,0.27,29.78,63,29.16
154,2007-06-05,"2500 South Millard Avenue, Chicago, IL 60623, USA",25, S MILLARD AVE,41.846075,-87.716277,0,48,51,0.42,29.79,64,29.10
155,2007-06-05,"2500 South Millard Avenue, Chicago, IL 60623, USA",25, S MILLARD AVE,41.846075,-87.716277,0,47,52,0.27,29.78,63,29.16
156,2007-06-05,"2100 North Lawler Avenue, Chicago, IL 60639, USA",21, N LAWLER AVE,41.918705,-87.752329,0,48,51,0.42,29.79,64,29.10
157,2007-06-05,"2100 North Lawler Avenue, Chicago, IL 60639, USA",21, N LAWLER AVE,41.918705,-87.752329,0,47,52,0.27,29.78,63,29.16
158,2007-06-05,"3500 West 116th Street, Chicago, IL 60655, USA",35, W 116TH ST,41.682587,-87.707973,0,48,51,0.42,29.79,64,29.10
159,2007-06-05,"3500 West 116th Street, Chicago, IL 60655, USA",35, W 116TH ST,41.682587,-87.707973,0,47,52,0.27,29.78,63,29.16
162,2007-06-05,"9300 South Doctor Martin Luther King Junior Drive, Chicago, IL 60619, USA",93, S DR MARTIN LUTHER KING JR DR,41.725517,-87.614258,0,48,51,0.42,29.79,64,29.10
163,2007-06-05,"9300 South Doctor Martin Luther King Junior Drive, Chicago, IL 60619, USA",93, S DR MARTIN LUTHER KING JR DR,41.725517,-87.614258,0,47,52,0.27,29.78,63,29.16
164,2007-06-05,"3700 North Kedvale Avenue, Chicago, IL 60641, USA",37, N KEDVALE AVE,41.948167,-87.730698,0,48,51,0.42,29.79,64,29.10
165,2007-06-05,"3700 North Kedvale Avenue, Chicago, IL 60641, USA",37, N KEDVALE AVE,41.948167,-87.730698,0,47,52,0.27,29.78,63,29.16
168,2007-06-05,"4500 North Campbell Avenue, Chicago, IL 60625, USA",45, N CAMPBELL AVE,41.963976,-87.69181,0,48,51,0.42,29.79,64,29.10
169,2007-06-05,"4500 North Campbell Avenue, Chicago, IL 60625, USA",45, N CAMPBELL AVE,41.963976,-87.69181,0,47,52,0.27,29.78,63,29.16
170,2007-06-26,"4100 North Oak Park Avenue, Chicago, IL 60634, USA",41, N OAK PARK AVE,41.95469,-87.800991,0,69,72,0.16,30.11,92,29.39
171,2007-06-26,"4100 North Oak Park Avenue, Chicago, IL 60634, USA",41, N OAK PARK AVE,41.95469,-87.800991,0,69,72,  T,30.09,91,29.45
176,2007-06-26,"6200 North Mandell Avenue, Chicago, IL 60646, USA",62, N MANDELL AVE,41.994991,-87.769279,0,69,72,0.16,30.11,92,29.39
177,2007-06-26,"6200 North Mandell Avenue, Chicago, IL 60646, USA",62, N MANDELL AVE,41.994991,-87.769279,0,69,72,  T,30.09,91,29.45
180,2007-06-26,"7900 West Foster Avenue, Chicago, IL 60656, USA",79, W FOSTER AVE,41.974089,-87.824812,0,69,72,0.16,30.11,92,29.39
181,2007-06-26,"7900 West Foster Avenue, Chicago, IL 60656, USA",79, W FOSTER AVE,41.974089,-87.824812,0,69,72,  T,30.09,91,29.45
182,2007-06-26,"1500 West Webster Avenue, Chicago, IL 60614, USA",15, W WEBSTER AVE,41.9216,-87.666455,0,69,72,0.16,30.11,92,29.39
183,2007-06-26,"1500 West Webster Avenue, Chicago, IL 60614, USA",15, W WEBSTER AVE,41.9216,-87.666455,0,69,72,  T,30.09,91,29.45
186,2007-06-26,"2500 West Grand Avenue, Chicago, IL 60654, USA",25, W GRAND AVE,41.891118,-87.654491,0,69,72,0.16,30.11,92,29.39
187,2007-06-26,"2500 West Grand Avenue, Chicago, IL 60654, USA",25, W GRAND AVE,41.891118,-87.654491,0,69,72,  T,30.09,91,29.45
190,2007-06-26,"1100 Roosevelt Road, Chicago, IL 60608, USA",11, W ROOSEVELT,41.867108,-87.654224,0,69,72,0.16,30.11,92,29.39
191,2007-06-26,"1100 Roosevelt Road, Chicago, IL 60608, USA",11, W ROOSEVELT,41.867108,-87.654224,0,69,72,  T,30.09,91,29.45
192,2007-06-26,"1100 West Chicago Avenue, Chicago, IL 60642, USA",11, W CHICAGO,41.896282,-87.655232,0,69,72,0.16,30.11,92,29.39
193,2007-06-26,"1100 West Chicago Avenue, Chicago, IL 60642, USA",11, W CHICAGO,41.896282,-87.655232,0,69,72,  T,30.09,91,29.45
194,2007-06-26,"2100 North Stave Street, Chicago, IL 60647, USA",21, N STAVE ST,41.919343,-87.694259,0,69,72,0.16,30.11,92,29.39
195,2007-06-26,"2100 North Stave Street, Chicago, IL 60647, USA",21, N STAVE ST,41.919343,-87.694259,0,69,72,  T,30.09,91,29.45
196,2007-06-26,"2200 West 113th Street, Chicago, IL 60643, USA",22, W 113TH ST,41.688324,-87.676709,0,69,72,0.16,30.11,92,29.39
197,2007-06-26,"2200 West 113th Street, Chicago, IL 60643, USA",22, W 113TH ST,41.688324,-87.676709,0,69,72,  T,30.09,91,29.45
202,2007-06-26,"2200 West 89th Street, Chicago, IL 60643, USA",22, W 89TH ST,41.731922,-87.677512,0,69,72,0.16,30.11,92,29.39
203,2007-06-26,"2200 West 89th Street, Chicago, IL 60643, USA",22, W 89TH ST,41.731922,-87.677512,0,69,72,  T,30.09,91,29.45
204,2007-06-26,"North Streeter Drive, Chicago, IL 60611, USA",53, N STREETER DR,41.891126,-87.61156,0,69,72,0.16,30.11,92,29.39
205,2007-06-26,"North Streeter Drive, Chicago, IL 60611, USA",53, N STREETER DR,41.891126,-87.61156,0,69,72,  T,30.09,91,29.45
208,2007-06-26,"6500 North Oak Park Avenue, Chicago, IL 60631, USA",65, N OAK PARK AVE,41.999129,-87.795585,0,69,72,0.16,30.11,92,29.39
209,2007-06-26,"6500 North Oak Park Avenue, Chicago, IL 60631, USA",65, N OAK PARK AVE,41.999129,-87.795585,0,69,72,  T,30.09,91,29.45
212,2007-06-26,"7500 North Oakley Avenue, Chicago, IL 60645, USA",75, N OAKLEY AVE,42.01743,-87.687769,0,69,72,0.16,30.11,92,29.39
213,2007-06-26,"7500 North Oakley Avenue, Chicago, IL 60645, USA",75, N OAKLEY AVE,42.01743,-87.687769,0,69,72,  T,30.09,91,29.45
216,2007-06-26,"3600 North Pittsburgh Avenue, Chicago, IL 60634, USA",36, N PITTSBURGH AVE,41.944869,-87.832763,0,69,72,0.16,30.11,92,29.39
217,2007-06-26,"3600 North Pittsburgh Avenue, Chicago, IL 60634, USA",36, N PITTSBURGH AVE,41.944869,-87.832763,0,69,72,  T,30.09,91,29.45
220,2007-06-26,"7200 North Oketo Avenue, Chicago, IL 60631, USA",72, N OKETO AVE,42.011601,-87.811506,0,69,72,0.16,30.11,92,29.39
221,2007-06-26,"7200 North Oketo Avenue, Chicago, IL 60631, USA",72, N OKETO AVE,42.011601,-87.811506,0,69,72,  T,30.09,91,29.45
224,2007-06-26,"3800 North California Avenue, Chicago, IL 60618, USA",38, N CALIFORNIA AVE,41.94983,-87.698457,0,69,72,0.16,30.11,92,29.39
225,2007-06-26,"3800 North California Avenue, Chicago, IL 60618, USA",38, N CALIFORNIA AVE,41.94983,-87.698457,0,69,72,  T,30.09,91,29.45
226,2007-06-26,"4900 West Balmoral Avenue, Chicago, IL 60630, USA",49, W BALMORAL AVE,41.979243,-87.750938,0,69,72,0.16,30.11,92,29.39
227,2007-06-26,"4900 West Balmoral Avenue, Chicago, IL 60630, USA",49, W BALMORAL AVE,41.979243,-87.750938,0,69,72,  T,30.09,91,29.45
228,2007-06-26,"5800 North Western Avenue, Chicago, IL 60659, USA",58, N WESTERN AVE,41.986921,-87.689778,0,69,72,0.16,30.11,92,29.39
229,2007-06-26,"5800 North Western Avenue, Chicago, IL 60659, USA",58, N WESTERN AVE,41.986921,-87.689778,0,69,72,  T,30.09,91,29.45
232,2007-06-26,"1400 North Sacramento Avenue, Chicago, IL 60622, USA",14, N HUMBOLDT DR,41.906638,-87.701431,0,69,72,0.16,30.11,92,29.39
233,2007-06-26,"1400 North Sacramento Avenue, Chicago, IL 60622, USA",14, N HUMBOLDT DR,41.906638,-87.701431,0,69,72,  T,30.09,91,29.45
236,2007-06-26,"University of Illinois at Chicago, 1100 South Ashland Avenue, Chicago, IL 60607, USA",11, S ASHLAND AVE,41.868077,-87.666901,0,69,72,0.16,30.11,92,29.39
237,2007-06-26,"University of Illinois at Chicago, 1100 South Ashland Avenue, Chicago, IL 60607, USA",11, S ASHLAND AVE,41.868077,-87.666901,0,69,72,  T,30.09,91,29.45
242,2007-06-26,"4200 West 127th Street, Alsip, IL 60803, USA",42, W 127TH PL,41.662014,-87.724608,0,69,72,0.16,30.11,92,29.39
243,2007-06-26,"4200 West 127th Street, Alsip, IL 60803, USA",42, W 127TH PL,41.662014,-87.724608,0,69,72,  T,30.09,91,29.45
248,2007-06-26,"5300 West Agatite Avenue, Chicago, IL 60630, USA",53, W AGATITE AVE,41.961743,-87.76007,0,69,72,0.16,30.11,92,29.39
249,2007-06-26,"5300 West Agatite Avenue, Chicago, IL 60630, USA",53, W AGATITE AVE,41.961743,-87.76007,0,69,72,  T,30.09,91,29.45
252,2007-06-26,"4000 North Austin Avenue, Chicago, IL 60634, USA",40, N AUSTIN AVE,41.953067,-87.776792,0,69,72,0.16,30.11,92,29.39
253,2007-06-26,"4000 North Austin Avenue, Chicago, IL 60634, USA",40, N AUSTIN AVE,41.953067,-87.776792,0,69,72,  T,30.09,91,29.45
254,2007-06-26,"Chicago, IL, USA",43, N ASHLAND AVE OVERPASS,41.878114,-87.629798,0,69,72,0.16,30.11,92,29.39
255,2007-06-26,"Chicago, IL, USA",43, N ASHLAND AVE OVERPASS,41.878114,-87.629798,0,69,72,  T,30.09,91,29.45
256,2007-06-26,"4200 North Richmond Street, Chicago, IL 60618, USA",42, N RICHMOND ST,41.958271,-87.702575,0,69,72,0.16,30.11,92,29.39
257,2007-06-26,"4200 North Richmond Street, Chicago, IL 60618, USA",42, N RICHMOND ST,41.958271,-87.702575,0,69,72,  T,30.09,91,29.45
258,2007-06-26,"2800 North Francisco Avenue, Chicago, IL 60618, USA",28, N FRANCISCO AVE,41.932094,-87.700117,0,69,72,0.16,30.11,92,29.39
259,2007-06-26,"2800 North Francisco Avenue, Chicago, IL 60618, USA",28, N FRANCISCO AVE,41.932094,-87.700117,0,69,72,  T,30.09,91,29.45
260,2007-06-26,"1800 West Farwell Avenue, Chicago, IL 60626, USA",18, W FARWELL AVE,42.006858,-87.675919,0,69,72,0.16,30.11,92,29.39
261,2007-06-26,"1800 West Farwell Avenue, Chicago, IL 60626, USA",18, W FARWELL AVE,42.006858,-87.675919,0,69,72,  T,30.09,91,29.45
262,2007-06-26,"7000 West Armitage Avenue, Chicago, IL 60707, USA",70,  W ARMITAGE AVENUE,41.916265,-87.800515,0,69,72,0.16,30.11,92,29.39
263,2007-06-26,"7000 West Armitage Avenue, Chicago, IL 60707, USA",70,  W ARMITAGE AVENUE,41.916265,-87.800515,0,69,72,  T,30.09,91,29.45
266,2007-06-26,"3500 West 116th Street, Chicago, IL 60655, USA",35, W 116TH ST,41.682587,-87.707973,0,69,72,0.16,30.11,92,29.39
267,2007-06-26,"3500 West 116th Street, Chicago, IL 60655, USA",35, W 116TH ST,41.682587,-87.707973,0,69,72,  T,30.09,91,29.45
270,2007-06-26,"4500 North Campbell Avenue, Chicago, IL 60625, USA",45, N CAMPBELL AVE,41.963976,-87.69181,0,69,72,0.16,30.11,92,29.39
